Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"chicago interior designers";"1";"1";"390";"66.22";"3.68";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.01";"0.65";"31900000";"1.00,0.54,1.00,0.81,0.81,0.81,0.67,0.67,0.81,0.81,1.00,0.81";"1508942291"
"interior design miami";"1";"1";"390";"50.55";"4.75";"https://www.houzz.com/professionals/interior-designer/miami";"0.00";"0.01";"0.70";"40500000";"1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.44,0.81,0.67";"1508860794"
"interior designers dallas";"1";"1";"390";"59.20";"4.90";"https://www.houzz.com/professionals/interior-designer/dallas";"0.00";"0.01";"0.53";"30900000";"0.66,1.00,0.54,0.36,0.81,0.66,0.66,0.54,0.54,0.54,0.66,0.66";"1508900016"
"best interior paint";"11";"11";"3600";"78.30";"2.53";"https://www.houzz.com/discussions/738455/what-is-the-best-interior-paint-brand-with-the-best-colors";"0.00";"0.00";"0.50";"78700000";"1.00,0.82,0.82,1.00,1.00,1.00,1.00,0.82,0.66,0.55,0.82,0.82";"1510896040"
"atlanta interior designers";"1";"1";"320";"56.30";"2.86";"https://www.houzz.com/professionals/interior-designer/atlanta";"0.00";"0.00";"0.65";"2350000";"0.67,0.54,0.82,1.00,0.82,0.82,0.67,0.82,0.67,0.54,1.00,0.67";"1508866640"
"interior garage door";"1";"1";"320";"70.86";"11.79";"https://www.houzz.com/interior-garage-door";"0.00";"0.03";"0.81";"76800000";"0.67,0.82,0.54,0.67,0.67,0.82,0.82,0.82,0.67,0.67,1.00,1.00";"1506350334"
"interior design austin";"1";"1";"320";"52.94";"5.39";"https://www.houzz.com/professionals/interior-designer/austin";"0.00";"0.01";"0.75";"34600000";"0.44,0.81,0.54,0.54,0.67,0.81,0.81,0.67,0.67,0.67,1.00,1.00";"1508983680"
"houston interior designers";"1";"1";"320";"53.59";"4.97";"https://www.houzz.com/professionals/interior-designer/houston";"0.00";"0.01";"0.67";"1860000";"0.82,0.67,0.82,0.82,0.82,0.67,0.54,0.67,0.54,0.67,1.00,0.82";"1508886412"
"decorative interior doors";"1";"2";"320";"69.22";"1.39";"https://www.houzz.com/projects/426102/decorative-glass-interior-doors";"0.00";"0.00";"1.00";"3440000";"0.67,0.54,0.54,0.44,0.67,0.54,0.67,0.67,0.54,0.44,1.00,0.81";"1508864726"
"los angeles interior designers";"1";"1";"320";"60.44";"4.45";"https://www.houzz.com/professionals/interior-designer/los-angeles";"0.00";"0.01";"0.59";"2730000";"0.44,0.54,0.54,0.81,0.67,0.54,0.44,0.54,0.54,0.44,0.54,1.00";"1510679140"
"interior designers los angeles";"1";"1";"320";"63.21";"6.36";"https://www.houzz.com/professionals/interior-designer/los-angeles";"0.00";"0.01";"0.79";"45800000";"0.44,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.67,0.54,0.67,1.00";"1508885847"
"interior design seattle";"1";"1";"320";"52.12";"6.26";"https://www.houzz.com/professionals/interior-designer/seattle";"0.00";"0.01";"0.59";"3280000";"1.00,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.67,1.00,0.82";"1508935587"
"interior design chicago";"1";"1";"320";"60.76";"4.74";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.01";"0.72";"45200000";"0.82,0.67,0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.67,1.00,0.82";"1508866517"
"interior designers";"6";"4";"2900";"63.44";"4.99";"https://www.houzz.com/professionals/interior-designer";"0.00";"0.01";"0.82";"96900000";"1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.67,1.00,1.00";"1509000277"
"interior decorator";"5";"6";"2900";"69.09";"3.25";"https://www.houzz.com/professionals/interior-designer";"0.00";"0.00";"0.80";"1310000000";"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00";"1508999068"
"interior decorators";"2";"1";"1000";"64.70";"3.16";"https://www.houzz.com/professionals/interior-designer";"0.00";"0.00";"0.70";"18500000";"1.00,0.77,0.77,0.77,1.00,1.00,1.00,1.00,0.77,0.77,0.77,0.77";"1508863998"
"interior designer nyc";"1";"1";"260";"60.12";"4.78";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.01";"0.67";"40400000";"0.67,0.67,0.82,0.67,0.67,1.00,0.54,0.67,0.67,0.44,0.82,1.00";"1510707756"
"interior designer nj";"1";"1";"260";"51.41";"3.43";"https://www.houzz.com/professionals/interior-designer/c/New-Jersey";"0.00";"0.00";"0.26";"28900000";"0.11,0.14,0.11,0.14,0.14,0.11,0.14,0.26,0.11,0.11,0.72,1.00";"1510703646"
"seattle interior design";"1";"1";"260";"55.79";"4.67";"https://www.houzz.com/professionals/interior-designer/seattle";"0.00";"0.00";"0.34";"27800000";"0.66,0.66,1.00,0.81,0.53,0.81,1.00,0.81,0.66,0.53,1.00,0.81";"1510705080"
"interior designers charlotte nc";"1";"1";"260";"50.17";"5.13";"https://www.houzz.com/professionals/interior-designer/charlotte";"0.00";"0.01";"0.63";"1980000";"0.44,0.81,0.54,0.67,0.44,1.00,0.81,0.67,0.29,0.23,0.35,0.29";"1510704782"
"dallas interior designers";"1";"1";"260";"59.51";"3.86";"https://www.houzz.com/professionals/interior-designer/dallas";"0.00";"0.00";"0.76";"2220000";"0.81,0.66,0.66,0.66,0.81,1.00,0.81,0.81,0.66,0.53,0.81,0.66";"1510756700"
"interior design san francisco";"1";"1";"260";"48.61";"5.95";"https://www.houzz.com/professionals/interior-designer/san-francisco";"0.00";"0.01";"0.55";"42200000";"1.00,0.82,0.82,0.44,0.54,0.82,0.44,0.44,0.67,0.44,0.54,0.54";"1510810731"
"interior design los angeles";"1";"1";"260";"61.52";"4.38";"https://www.houzz.com/professionals/interior-designer/los-angeles";"0.00";"0.00";"0.52";"46300000";"0.67,0.67,0.67,0.82,0.82,0.82,0.67,0.54,0.54,0.54,0.54,1.00";"1510696979"
"interior designer los angeles";"1";"1";"260";"60.31";"5.21";"https://www.houzz.com/professionals/interior-designer/los-angeles";"0.00";"0.01";"0.72";"48300000";"1.00,0.82,0.82,0.54,0.36,0.36,0.44,0.67,0.54,0.44,0.82,0.82";"1510697438"
"interior design charleston sc";"1";"1";"260";"38.39";"5.03";"https://www.houzz.com/professionals/interior-designer/c/Charleston--SC";"0.00";"0.01";"0.42";"1790000";"0.24,0.55,1.00,0.24,1.00,0.44,0.16,0.67,0.30,0.44,0.44,0.30";"1509643060"
"interior design boston";"1";"1";"260";"56.00";"4.89";"https://www.houzz.com/professionals/interior-designer/boston";"0.00";"0.01";"0.64";"37700000";"1.00,0.82,0.82,0.82,0.54,0.67,0.67,0.54,0.44,0.44,0.54,0.54";"1510706288"
"interior designers atlanta";"1";"1";"260";"57.02";"3.51";"https://www.houzz.com/professionals/interior-designer/atlanta";"0.00";"0.00";"0.61";"29000000";"0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.67,0.67,0.67,0.82,1.00";"1510680064"
"condo interior design";"1";"4";"260";"85.38";"3.47";"https://www.houzz.com/condo-interior-design";"0.00";"0.00";"0.28";"71500000";"0.66,0.81,0.81,0.81,1.00,0.66,0.66,0.53,0.66,0.81,1.00,0.81";"1510704245"
"interior designers chicago";"1";"1";"260";"60.85";"3.61";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.00";"0.79";"47000000";"1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.81,1.00";"1510703780"
"interior design denver";"1";"1";"260";"54.65";"5.64";"https://www.houzz.com/professionals/interior-designer/denver";"0.00";"0.01";"0.71";"23600000";"0.81,0.81,0.81,0.66,0.81,0.81,0.66,0.66,0.81,0.53,0.81,1.00";"1510750461"
"interior designers houston";"1";"1";"260";"63.03";"4.11";"https://www.houzz.com/professionals/interior-designer/houston";"0.00";"0.00";"0.80";"32200000";"1.00,0.67,0.54,0.54,0.54,0.54,0.44,0.54,0.35,0.35,0.54,0.44";"1510725382"
"interior design styles";"6";"6";"2400";"68.32";"2.88";"https://www.houzz.com/ideabooks/Decorating-Styles";"0.00";"0.00";"0.23";"0";"0.66,0.66,0.83,0.66,0.83,0.83,0.83,0.66,0.66,0.66,1.00,0.83";"1510916423"
"interior designers charleston sc";"2";"2";"880";"42.09";"4.42";"https://www.houzz.com/professionals/interior-designer/charleston";"0.00";"0.00";"0.57";"1590000";"0.82,0.36,0.04,0.15,0.36,0.29,0.54,0.44,1.00,0.15,0.15,0.19";"1509585884"
"modern interior design";"11";"10";"2400";"79.07";"3.99";"https://www.houzz.com/photos/modern";"0.00";"0.00";"0.17";"143000000";"0.67,0.53,0.67,0.67,0.67,0.67,0.67,0.81,0.67,0.67,1.00,0.81";"1510897757"
"home interior design";"9";"10";"3600";"77.45";"3.09";"https://www.houzz.com/photos";"0.00";"0.00";"0.78";"403000000";"1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.67,1.00,1.00";"1510896495"
"austin interior designers";"1";"1";"210";"47.85";"3.74";"https://www.houzz.com/professionals/interior-designer/austin";"0.00";"0.00";"0.62";"11500000";"1.00,0.65,0.65,0.81,0.81,0.65,0.65,0.81,0.65,0.54,1.00,0.81";"1508324000"
"interior designers tampa";"1";"1";"210";"48.45";"4.68";"https://www.houzz.com/professionals/interior-designer/tampa";"0.00";"0.00";"0.84";"14900000";"0.34,0.44,0.66,0.81,0.81,1.00,1.00,0.66,0.66,0.22,0.81,0.81";"1510750823"
"classic interior design";"1";"2";"210";"59.58";"11.58";"https://www.houzz.com/classic-interior-design";"0.00";"0.01";"0.19";"78200000";"0.65,0.65,0.65,0.65,0.81,0.65,0.65,0.65,0.81,0.65,1.00,0.81";"1510843705"
"nyc interior designers";"1";"1";"210";"64.27";"4.45";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.00";"0.65";"1790000";"0.53,0.53,0.53,0.81,0.53,0.53,0.66,0.53,0.53,0.66,0.66,1.00";"1510752471"
"interior decorator houston";"1";"1";"210";"62.76";"3.37";"https://www.houzz.com/professionals/interior-designer/houston";"0.00";"0.00";"0.80";"32200000";"1.00,0.65,0.54,0.81,1.00,0.65,0.65,0.81,0.81,0.65,1.00,0.65";"1510755356"
"interior design las vegas";"1";"1";"210";"53.81";"5.70";"https://www.houzz.com/professionals/interior-designer/las-vegas";"0.00";"0.00";"0.82";"23500000";"0.66,0.66,0.44,0.44,0.44,0.53,0.53,0.81,0.81,0.81,1.00,0.81";"1510751875"
"interior design new york";"1";"1";"210";"57.63";"4.40";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.00";"0.56";"93200000";"0.66,0.53,0.66,1.00,1.00,0.81,0.53,0.53,0.66,0.66,0.66,0.81";"1510751364"
"chicago interior design";"1";"1";"210";"60.88";"5.33";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.00";"0.38";"46400000";"0.81,0.65,0.81,0.81,1.00,0.54,0.54,0.81,1.00,0.81,1.00,0.65";"1510775692"
"interior design cincinnati";"1";"1";"210";"54.42";"3.34";"https://www.houzz.com/professionals/interior-designer/cincinnati";"0.00";"0.00";"0.49";"14800000";"0.42,1.00,0.81,0.65,0.19,0.65,0.81,0.81,1.00,1.00,1.00,0.81";"1508347894"
"interior design dallas";"1";"1";"210";"52.89";"7.58";"https://www.houzz.com/professionals/interior-designer/dallas";"0.00";"0.01";"0.45";"29900000";"0.53,0.66,0.81,0.53,0.53,0.66,0.66,0.66,0.53,0.44,1.00,1.00";"1510842738"
"interior design san antonio";"1";"2";"210";"60.30";"6.43";"https://www.houzz.com/professionals/interior-designer/c/San-Antonio--TX";"0.00";"0.01";"0.66";"29100000";"0.44,0.67,1.00,0.36,0.28,0.82,0.54,0.44,0.28,0.28,0.67,0.82";"1510754076"
"interior decorator nyc";"1";"1";"210";"68.04";"3.59";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.00";"0.82";"39400000";"1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.65,0.65,1.00,1.00";"1510725933"
"interior design omaha";"1";"1";"210";"47.64";"3.79";"https://www.houzz.com/professionals/interior-designer/omaha";"0.00";"0.00";"0.60";"8330000";"0.42,0.81,0.81,1.00,0.81,1.00,0.81,0.81,0.65,0.65,0.81,0.81";"1510750709"
"interior designer atlanta";"1";"1";"210";"61.28";"3.44";"https://www.houzz.com/professionals/interior-designer/atlanta";"0.00";"0.00";"0.55";"28800000";"0.53,0.66,0.53,0.44,0.66,0.66,0.53,0.66,0.81,0.66,1.00,0.81";"1510836198"
"interior designers raleigh nc";"1";"1";"210";"51.67";"2.14";"https://www.houzz.com/professionals/interior-designer/raleigh";"0.00";"0.00";"0.61";"1120000";"0.53,0.53,0.66,0.81,1.00,0.81,0.53,0.53,0.53,0.28,0.53,0.44";"1510770858"
"interior design houston";"2";"2";"720";"57.53";"4.84";"https://www.houzz.com/professionals/interior-designer/c/Houston--TX";"0.00";"0.00";"0.79";"4170000";"1.00,0.88,0.88,0.72,0.88,0.88,0.72,0.72,0.72,0.59,0.88,0.59";"1508772678"
"masonite interior doors";"11";"17";"1900";"69.83";"1.43";"https://www.houzz.com/projects/1968454/masonite-interior-doors";"0.00";"0.00";"0.60";"407000";"0.79,0.54,0.54,0.79,1.00,0.54,0.54,0.79,1.00,1.00,0.79,0.54";"1510916787"
"interior designers near me";"6";"6";"1600";"62.47";"4.31";"https://www.houzz.com/professionals/interior-designer";"0.00";"0.00";"0.79";"85600000";"0.30,0.23,0.05,0.44,0.20,0.81,0.12,0.20,1.00,0.67,0.67,0.36";"1510898493"
"interior designers san francisco";"1";"1";"170";"54.61";"6.00";"https://www.houzz.com/professionals/interior-designer/san-francisco";"0.00";"0.00";"0.77";"41800000";"0.81,1.00,1.00,0.65,0.65,0.81,0.65,0.65,0.54,0.42,0.65,0.54";"1510794933"
"interior designer houston";"1";"1";"170";"63.03";"2.56";"https://www.houzz.com/professionals/interior-designer/houston";"0.00";"0.00";"0.64";"33600000";"0.54,0.36,0.44,0.36,0.44,0.36,0.44,0.44,0.44,0.36,1.00,0.54";"1510859434"
"boston interior designers";"1";"1";"170";"60.87";"3.85";"https://www.houzz.com/professionals/interior-designer/boston";"0.00";"0.00";"0.73";"2380000";"0.81,0.81,0.81,0.67,1.00,0.81,0.81,1.00,1.00,0.67,1.00,0.81";"1508350988"
"interior design tulsa";"1";"1";"170";"53.61";"11.09";"https://www.houzz.com/professionals/interior-designer/c/Tulsa--OK";"0.00";"0.01";"0.53";"10700000";"0.35,0.81,0.54,0.81,0.54,0.65,0.81,0.54,0.42,0.54,1.00,0.42";"1508349731"
"interior designers portland";"1";"1";"170";"44.05";"3.72";"https://www.houzz.com/professionals/interior-designer/portland";"0.00";"0.00";"0.73";"25900000";"0.81,0.65,0.65,0.42,0.54,0.65,0.81,0.81,1.00,0.81,1.00,0.35";"1510862595"
"interior design firms nyc";"1";"1";"170";"57.37";"2.65";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.00";"0.61";"1260000";"0.65,0.65,0.65,0.54,0.65,0.54,0.65,0.65,0.65,0.65,1.00,0.81";"1508344499"
"interior home designs";"1";"4";"170";"82.44";"2.83";"https://www.houzz.com/photos";"0.00";"0.00";"0.58";"12500000";"0.42,0.42,0.54,0.65,0.65,0.65,0.65,0.81,0.65,0.65,1.00,0.81";"1510862060"
"interior decorator nj";"1";"2";"170";"54.22";"3.43";"https://www.houzz.com/professionals/interior-designer/c/New-Jersey";"0.00";"0.00";"0.77";"29500000";"0.53,0.34,0.66,0.34,0.34,0.34,0.44,1.00,0.28,0.28,0.66,0.66";"1510859370"
"interior design tips";"3";"4";"880";"79.98";"4.15";"https://www.houzz.com/ideabooks/19837206/list/12-key-decorating-tips-to-make-any-room-better";"0.00";"0.00";"0.10";"87700000";"0.88,1.00,1.00,0.72,0.72,0.88,0.72,0.72,0.72,0.72,0.88,0.88";"1508794592"
"interior design orlando";"1";"1";"170";"45.54";"5.09";"https://www.houzz.com/professionals/interior-designer/orlando";"0.00";"0.00";"0.67";"27300000";"0.66,1.00,0.66,0.53,0.53,0.34,0.44,0.28,0.44,0.44,0.44,0.53";"1510863018"
"interior designers naples fl";"1";"1";"170";"36.72";"4.03";"https://www.houzz.com/professionals/interior-designer/c/Naples--FL";"0.00";"0.00";"0.79";"1010000";"0.54,0.54,0.81,0.54,0.42,0.54,1.00,0.65,0.42,0.54,0.81,0.65";"1508324649"
"interior designers austin tx";"1";"1";"170";"52.28";"3.67";"https://www.houzz.com/professionals/interior-designer/c/Austin--TX";"0.00";"0.00";"0.86";"2860000";"1.00,1.00,0.81,0.65,0.54,0.65,0.65,0.54,0.54,0.42,0.54,0.42";"1510841954"
"san francisco interior design";"1";"1";"170";"50.37";"5.02";"https://www.houzz.com/professionals/interior-designer/san-francisco";"0.00";"0.00";"0.42";"41400000";"1.00,0.65,1.00,0.54,0.81,1.00,0.54,0.54,0.35,0.42,0.42,0.54";"1510842208"
"interior decorator atlanta";"1";"1";"170";"62.59";"2.89";"https://www.houzz.com/professionals/interior-designer/atlanta";"0.00";"0.00";"0.83";"28200000";"1.00,1.00,1.00,0.81,1.00,0.67,0.33,0.67,0.81,0.24,0.81,0.81";"1510861446"
"interior design kansas city";"1";"1";"170";"46.00";"4.56";"https://www.houzz.com/professionals/interior-designer/kansas-city";"0.00";"0.00";"0.68";"14700000";"0.34,0.28,0.53,0.44,0.53,0.53,0.28,0.53,0.66,0.66,1.00,0.53";"1510857322"
"nyc interior design";"1";"1";"170";"55.56";"2.05";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.00";"0.41";"37200000";"0.54,0.65,0.81,1.00,0.81,0.65,0.35,0.42,0.42,0.42,0.54,0.65";"1508352205"
"interior design richmond va";"1";"1";"170";"47.83";"6.41";"https://www.houzz.com/professionals/interior-designer/richmond";"0.00";"0.00";"0.59";"1030000";"0.54,0.35,0.42,0.35,0.81,0.65,0.65,0.65,0.35,0.65,0.81,1.00";"1508353394"
"interior design columbus ohio";"1";"1";"170";"45.86";"4.96";"https://www.houzz.com/professionals/interior-designer/c/Columbus--OH";"0.00";"0.00";"0.59";"1890000";"0.67,1.00,0.81,0.81,0.52,1.00,1.00,0.81,0.33,0.43,0.81,0.81";"1510859360"
"interior designers miami";"1";"1";"170";"44.19";"5.61";"https://www.houzz.com/professionals/interior-designer/miami";"0.00";"0.00";"0.65";"37700000";"1.00,0.81,0.81,0.65,0.65,0.54,0.81,0.65,0.65,0.54,0.65,0.65";"1510754525"
"interior designer dallas";"1";"1";"170";"59.74";"3.98";"https://www.houzz.com/professionals/interior-designer/dallas";"0.00";"0.00";"0.77";"30800000";"1.00,0.81,1.00,0.81,0.81,1.00,0.81,0.43,0.43,0.43,0.81,0.81";"1510861003"
"interior design charlotte nc";"1";"1";"170";"51.07";"6.47";"https://www.houzz.com/professionals/interior-designer/charlotte";"0.00";"0.00";"0.36";"2510000";"0.81,0.65,0.65,0.42,0.81,0.81,0.54,0.65,0.65,0.42,1.00,0.81";"1508352159"
"miami interior designers";"1";"1";"170";"49.26";"7.41";"https://www.houzz.com/professionals/interior-designer/miami";"0.00";"0.01";"0.59";"2430000";"1.00,0.81,0.81,0.52,0.81,0.81,0.67,0.43,0.67,0.67,0.81,0.67";"1508325248"
"interior designers las vegas";"1";"1";"170";"58.19";"2.70";"https://www.houzz.com/professionals/interior-designer/las-vegas";"0.00";"0.00";"0.85";"52300000";"0.34,0.81,0.81,0.53,1.00,0.66,0.53,0.22,0.22,0.16,0.28,0.28";"1508326473"
"interior designer san francisco";"1";"1";"170";"49.99";"5.63";"https://www.houzz.com/professionals/interior-designer/san-francisco";"0.00";"0.00";"0.65";"42700000";"0.81,1.00,0.81,0.44,0.53,0.66,0.44,0.44,0.34,0.22,0.44,0.34";"1510862003"
"interior design nashville";"1";"1";"170";"49.05";"5.10";"https://www.houzz.com/professionals/interior-designer/nashville";"0.00";"0.00";"0.62";"16900000";"0.54,0.65,0.54,0.54,0.65,0.65,0.65,0.65,0.65,0.65,1.00,1.00";"1510859614"
"interior design hawaii";"1";"1";"170";"43.70";"3.33";"https://www.houzz.com/professionals/interior-designer/hawaii";"0.00";"0.00";"0.28";"22100000";"0.22,0.34,0.44,0.44,0.53,0.66,0.66,0.66,0.44,0.53,0.66,1.00";"1510857929"
"interior designer chicago";"1";"1";"170";"62.68";"3.86";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.00";"0.75";"47400000";"0.53,0.66,1.00,0.53,0.34,0.44,0.44,0.53,0.34,0.44,0.66,0.53";"1508348487"
"interior design atlanta";"2";"2";"590";"57.02";"3.42";"https://www.houzz.com/professionals/interior-designer/c/Atlanta--GA";"0.00";"0.00";"0.56";"4610000";"1.00,0.82,1.00,0.82,0.67,0.67,0.82,0.67,0.54,0.67,0.82,0.82";"1508864395"
"modern interior doors";"7";"4";"1900";"57.69";"1.69";"https://www.houzz.com/photos/contemporary/interior-doors";"0.00";"0.00";"1.00";"5060000";"0.66,0.55,0.66,0.55,0.66,0.66,0.66,0.83,0.66,0.66,1.00,0.83";"1510899743"
"interior designers nj";"2";"2";"590";"47.27";"4.42";"https://www.houzz.com/professionals/interior-designer/c/New-Jersey";"0.00";"0.00";"0.58";"29900000";"0.06,0.04,0.03,0.05,0.05,0.05,0.20,1.00,0.16,0.04,0.09,0.09";"1509569696"
"interior french doors";"13";"14";"8100";"73.69";"1.16";"https://www.houzz.com/double-interior-french-doors";"0.00";"0.00";"1.00";"7450000";"0.82,0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.82,0.67,1.00,1.00";"1510900152"
"interior design new orleans";"1";"1";"140";"51.08";"5.76";"https://www.houzz.com/professionals/interior-designer/new-orleans";"0.00";"0.00";"0.34";"2850000";"0.52,0.67,0.67,0.52,0.81,1.00,0.81,0.67,0.67,0.52,1.00,0.81";"1510791670"
"interior brick walls";"1";"1";"140";"72.38";"1.68";"https://www.houzz.com/ideabooks/42430882/list/how-to-make-an-interior-brick-wall-work";"0.00";"0.00";"1.00";"39700000";"0.52,0.52,0.67,0.52,0.52,0.67,0.67,0.81,0.52,0.52,1.00,0.81";"1510771804"
"interior decorator chicago";"1";"1";"140";"65.87";"2.52";"https://www.houzz.com/professionals/interior-designer/chicago";"0.00";"0.00";"0.83";"46600000";"1.00,1.00,1.00,0.65,0.82,1.00,0.82,1.00,0.82,0.53,1.00,1.00";"1510777785"
"interior design indianapolis";"1";"1";"140";"53.05";"5.78";"https://www.houzz.com/professionals/interior-designer/indianapolis";"0.00";"0.00";"0.64";"13400000";"0.43,0.52,0.67,0.52,0.43,0.52,0.52,1.00,0.52,0.43,0.81,1.00";"1510790423"
"interior design philadelphia";"1";"1";"140";"48.96";"8.43";"https://www.houzz.com/professionals/interior-designer/philadelphia";"0.00";"0.00";"0.37";"31500000";"1.00,0.82,0.82,0.82,1.00,0.82,0.65,1.00,0.82,0.82,1.00,1.00";"1510771709"
"interior designer san antonio";"1";"2";"140";"54.62";"3.80";"https://www.houzz.com/professionals/interior-designer/c/San-Antonio--TX";"0.00";"0.00";"0.63";"46700000";"0.29,0.65,0.82,0.82,1.00,0.65,1.00,1.00,0.65,0.53,0.65,0.65";"1510774610"
"san diego interior design";"1";"1";"140";"56.81";"3.59";"https://www.houzz.com/professionals/interior-designer/san-diego";"0.00";"0.00";"0.67";"29400000";"1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.82,0.53,0.53,1.00,1.00";"1510776316"
