Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"moderninteriors";"3";"0";"70";"71.85";"1.29";"https://www.trendir.com/interiors/";"0.01";"0.01";"0.05";"6840000";"0.33,1.00,0.44,0.11,0.44,0.11,0.78,0.78,0.22,0.44,0.44,0.44";"1509987656"
"retractable interior walls";"2";"1";"40";"68.74";"1.03";"https://www.trendir.com/retractable-walls-flexible-living/";"0.01";"0.00";"1.00";"2120000";"0.56,0.11,0.78,0.22,0.78,0.22,0.11,1.00,0.44,0.78,0.78,0.56";"1510401088"
"apartment interior design ideas";"9";"12";"140";"87.22";"3.50";"https://www.trendir.com/interiors/apartment-interiors/";"0.00";"0.02";"0.24";"32400000";"1.00,0.81,0.33,0.81,1.00,0.81,0.43,0.24,0.43,0.33,0.67,1.00";"1510790157"
"modern house interior design";"8";"0";"140";"76.08";"4.80";"https://www.trendir.com/interiors/";"0.00";"0.03";"0.34";"106000000";"0.24,0.43,0.24,0.43,0.43,0.81,0.67,0.67,0.81,0.81,1.00,0.81";"1508331358"
"private jets interior";"4";"0";"50";"78.90";"5.12";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.03";"0.11";"1320000";"0.78,0.56,0.78,0.56,1.00,0.56,0.56,0.56,0.56,0.33,0.78,0.78";"1508476362"
"interior modern house design";"5";"0";"70";"81.85";"23.09";"https://www.trendir.com/interiors/";"0.00";"0.14";"0.37";"152000000";"0.56,0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33";"1510075433"
"jet interior";"5";"0";"70";"70.75";"1.09";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.00";"0.10";"69100000";"0.27,0.36,0.45,0.36,1.00,0.64,0.45,0.45,0.64,0.64,0.64,0.64";"1508439004"
"tropical interior design";"10";"26";"110";"67.92";"1.18";"https://www.trendir.com/contemporary-tropical-interior-design/";"0.00";"0.00";"0.40";"37200000";"0.79,0.79,0.79,0.79,0.79,0.79,0.50,0.64,0.64,0.64,1.00,0.79";"1510796418"
"modern interior doors";"23";"25";"1900";"57.69";"1.69";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"5060000";"0.66,0.55,0.66,0.55,0.66,0.66,0.66,0.83,0.66,0.66,1.00,0.83";"1510899743"
"contemporary shutters interior";"4";"1";"40";"80.11";"7.82";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.03";"1.00";"18300000";"1.00,0.33,0.78,0.22,0.78,0.22,0.44,0.44,0.11,0.78,0.78,0.78";"1510374690"
"modern wall panels interior";"11";"0";"50";"54.46";"1.71";"https://www.trendir.com/decorative-panels-by-totalston/";"0.00";"0.00";"1.00";"3030000";"0.44,0.56,0.33,0.22,0.33,0.56,0.78,0.56,0.78,1.00,1.00,0.78";"1508461502"
"modern interior decor";"6";"0";"40";"80.34";"4.72";"https://www.trendir.com/interiors/";"0.00";"0.01";"0.71";"70500000";"0.80,0.80,0.40,0.40,1.00,0.60,1.00,0.60,0.60,0.60,0.80,0.80";"1508712707"
"contemporary home interiors";"11";"0";"50";"72.87";"3.15";"https://www.trendir.com/interiors/";"0.00";"0.01";"0.29";"8960000";"1.00,0.78,0.78,0.56,0.56,0.56,0.44,0.44,0.56,0.33,0.56,0.33";"1508532700"
"luxury jet interior";"4";"0";"30";"79.53";"2.93";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.01";"0.05";"25200000";"0.14,0.29,0.29,0.14,0.29,0.43,0.14,0.43,0.43,0.43,1.00,1.00";"1508866311"
"living room interior designs tv unit";"9";"10";"70";"69.48";"1.03";"https://www.trendir.com/modern-tv-stand-designs/";"0.00";"0.00";"1.00";"13700000";"0.11,0.11,0.78,0.22,0.11,1.00,0.11,0.11,0.44,0.78,0.11,0.33";"1510314360"
"modern home interior decoration";"10";"0";"90";"80.41";"3.19";"https://www.trendir.com/interiors/";"0.00";"0.01";"0.71";"15600000";"0.22,1.00,0.11,0.44,0.11,0.78,0.78,0.78,0.11,0.11,0.11,0.33";"1509675139"
"interior shutter doors";"12";"11";"210";"70.85";"2.33";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.01";"1.00";"2820000";"0.65,0.81,0.81,0.65,1.00,0.81,0.81,0.81,0.81,0.54,1.00,1.00";"1510755983"
"interior fire pit";"10";"6";"40";"78.10";"2.39";"https://www.trendir.com/house-with-built-in-window-nook-and-interior-fire-pit/";"0.00";"0.00";"1.00";"31500000";"1.00,1.00,0.22,0.78,0.22,0.33,0.44,0.11,0.44,0.78,0.78,1.00";"1510402905"
"tv set interior design";"9";"8";"40";"68.97";"3.61";"https://www.trendir.com/modern-tv-stand-designs/";"0.00";"0.00";"1.00";"12900000";"0.56,0.33,0.44,1.00,0.44,0.11,0.22,0.22,0.11,0.11,0.44,0.78";"1510398840"
"boat interior design";"13";"0";"170";"69.26";"2.49";"https://www.trendir.com/yacht-interior-designs/";"0.00";"0.00";"0.39";"52500000";"1.00,0.81,1.00,1.00,0.34,0.22,0.34,0.34,0.22,0.28,0.34,0.53";"1508354097"
"bathroom interiors";"8";"0";"50";"69.50";"3.69";"https://www.trendir.com/interiors/bathroom-interiors/";"0.00";"0.00";"0.32";"56500000";"0.56,0.56,0.56,0.56,0.56,0.44,0.56,1.00,0.56,0.44,0.78,0.78";"1508549198"
"jet interior design";"4";"0";"20";"59.77";"2.51";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.00";"0.38";"25100000";"0.67,0.33,0.67,0.33,0.67,0.67,0.67,1.00,0.33,0.33,1.00,0.67";"1509475399"
"scandinavian interior design";"29";"0";"720";"68.60";"1.93";"https://www.trendir.com/scandinavian-interior-designs/";"0.00";"0.00";"0.12";"25700000";"0.67,0.67,0.55,0.67,0.82,0.67,1.00,0.82,0.82,1.00,1.00,0.82";"1508959565"
"interior design ideas bedroom";"12";"30";"110";"77.31";"2.34";"https://www.trendir.com/modern-bedroom-design-ideas/";"0.00";"0.00";"0.32";"50300000";"1.00,0.81,0.67,0.33,0.24,0.43,0.43,0.67,0.81,0.33,0.43,1.00";"1510792773"
"modern bedroom interior design";"5";"0";"30";"77.16";"6.32";"https://www.trendir.com/modern-bedroom-design-ideas/";"0.00";"0.01";"0.28";"73100000";"0.80,0.40,1.00,0.60,0.60,0.80,0.60,0.80,0.60,0.40,0.80,0.60";"1508717686"
"luxury private jet interior";"5";"0";"20";"77.67";"3.07";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.00";"0.06";"973000";"0.20,0.20,0.20,0.40,0.40,0.40,0.40,0.40,0.60,0.60,1.00,0.60";"1509001386"
"modern interior decorating";"10";"0";"50";"78.82";"1.01";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.56";"8640000";"0.71,0.57,0.57,0.43,0.71,0.57,0.71,0.29,0.71,0.71,1.00,0.57";"1508589026"
"kitchen interiors";"15";"8";"210";"57.05";"3.53";"https://www.trendir.com/interiors/kitchen-interiors/";"0.00";"0.00";"0.33";"71300000";"0.81,0.66,0.53,0.53,0.66,0.81,1.00,0.66,0.53,0.53,0.81,0.81";"1510771498"
"interior door designs";"17";"14";"260";"81.92";"1.54";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"0.99";"86400000";"0.54,0.44,0.44,0.44,0.44,0.67,0.44,0.44,0.67,0.81,1.00,0.67";"1510704783"
"modern home interior designs";"7";"0";"40";"72.59";"3.50";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.37";"19300000";"0.11,0.11,0.33,0.11,0.44,0.22,0.11,0.56,0.78,1.00,1.00,1.00";"1508714641"
"contemporary interior design";"27";"0";"1000";"62.40";"4.10";"https://www.trendir.com/classic-and-contemporary-interior-design/";"0.00";"0.01";"0.19";"2490000";"0.88,1.00,0.88,0.88,1.00,1.00,1.00,1.00,1.00,0.88,1.00,1.00";"1508795551"
"interior contemporary doors";"43";"0";"30";"61.72";"1.85";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"43900000";"1.00,0.43,0.43,0.43,0.29,0.57,0.57,0.43,0.29,0.43,0.43,0.57";"1508737307"
"homes interiors";"46";"0";"20";"76.02";"1.15";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.50";"49500000";"1.00,0.67,0.67,1.00,0.33,0.33,0.67,0.67,0.67,1.00,0.67,0.67";"1508939269"
"interior doors contemporary";"33";"0";"20";"63.59";"1.07";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"1990000";"0.50,0.75,0.50,1.00,0.50,0.75,0.50,0.50,0.75,0.25,0.50,1.00";"1509131525"
"outdoor interior design";"22";"9";"10";"60.43";"1.23";"https://www.trendir.com/outdoor-interior-design-a-different-kind-of-interiors-by-paola-lenti/";"0.00";"0.00";"0.52";"118000000";"0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33";"1510594107"
"interior doors modern design";"9";"0";"10";"68.45";"1.91";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"2120000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1509222571"
"interior house doors designs";"21";"19";"40";"78.59";"1.44";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"233000000";"0.56,0.78,0.44,1.00,0.44,0.22,0.78,0.56,0.22,0.44,0.44,0.33";"1510403892"
"barn board interior walls";"85";"0";"90";"73.89";"2.10";"https://www.trendir.com/floral-wall-art-engraved/";"0.00";"0.00";"1.00";"18300000";"0.22,0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00";"1509684049"
"interior design for houses";"44";"0";"10";"79.36";"1.94";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.75";"121000000";"0.50,1.00,0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50,1.00,0.50";"1509314416"
"interior design ideas for apartments";"20";"0";"170";"85.04";"2.51";"https://www.trendir.com/interiors/apartment-interiors/";"0.00";"0.00";"0.26";"41700000";"0.22,0.34,1.00,0.81,0.44,0.34,0.53,0.66,0.34,0.34,0.34,0.53";"1508353553"
"industrial loft interior design";"52";"74";"40";"74.61";"12.84";"https://www.trendir.com/industrial-loft-design-in-white/";"0.00";"0.00";"0.15";"21500000";"0.56,1.00,0.44,0.11,0.44,0.33,0.78,0.78,0.22,0.44,0.44,0.44";"1510368549"
"industrial interior design bedroom";"30";"0";"70";"75.01";"5.90";"https://www.trendir.com/eclectic-bedroom-interior-an-industrial-romance/";"0.00";"0.00";"0.73";"28200000";"0.56,0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33";"1510285787"
"interior house design";"67";"0";"170";"70.57";"3.89";"https://www.trendir.com/";"0.00";"0.00";"0.44";"490000000";"0.54,0.54,0.54,0.42,0.42,0.65,0.54,0.65,0.54,0.54,1.00,0.81";"1510859178"
"interior design pictures of homes";"52";"42";"10";"80.41";"3.00";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.32";"40300000";"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00";"1510508124"
"rustic wood interior walls";"35";"0";"90";"80.14";"1.17";"https://www.trendir.com/rustic-interior-wall-idea/";"0.00";"0.00";"1.00";"2660000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78";"1509687476"
"decorative interior shutters";"72";"0";"90";"88.65";"2.37";"http://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"5770000";"0.24,0.33,0.24,0.33,0.24,0.33,0.43,0.43,0.43,0.43,1.00,0.43";"1505455148"
"modern house interior designs";"8";"5";"20";"71.48";"7.93";"http://www.trendir.com/interiors/";"0.00";"0.00";"0.25";"5740000";"1.00,0.43,0.57,0.29,0.43,0.29,0.14,0.14,0.14,0.14,0.14,0.29";"1506351432"
"new house interior design ideas";"99";"0";"10";"84.26";"7.05";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.43";"16300000";"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1510502850"
"interior house designs";"62";"57";"260";"71.87";"2.90";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.40";"117000000";"1.00,0.81,1.00,0.81,0.81,0.81,1.00,1.00,1.00,0.81,1.00,0.81";"1510704780"
"mid century modern interiors";"41";"0";"320";"79.02";"1.96";"https://www.trendir.com/contemporary-loft-design-with-midcentury-modern-interiors/";"0.00";"0.00";"0.09";"18000000";"1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.67,0.67,0.54,0.82,0.82";"1508864837"
"interior design for bedroom";"19";"27";"40";"78.78";"1.68";"https://www.trendir.com/modern-bedroom-design-ideas/";"0.00";"0.00";"0.46";"215000000";"1.00,0.57,0.71,0.43,0.57,0.71,0.57,0.57,0.43,0.43,0.43,0.43";"1510677000"
"interior design contemporary";"24";"0";"40";"71.61";"2.72";"https://www.trendir.com/classic-and-contemporary-interior-design/";"0.00";"0.00";"0.34";"1930000";"1.00,0.40,0.80,0.80,0.60,1.00,1.00,1.00,0.80,0.60,0.80,0.60";"1508942309"
"home gym interior design";"18";"16";"40";"69.58";"1.99";"https://www.trendir.com/home-gym-designs/";"0.00";"0.00";"0.49";"11300000";"0.56,0.78,0.33,1.00,0.33,0.33,0.11,0.56,0.11,0.78,0.78,0.78";"1510404387"
"green interior design";"17";"17";"170";"67.82";"3.13";"https://www.trendir.com/green-color-interior-design/";"0.00";"0.00";"0.08";"365000000";"1.00,1.00,1.00,0.81,0.81,0.67,1.00,1.00,1.00,0.52,1.00,0.67";"1510755483"
"beach house look interior design";"61";"0";"20";"71.85";"1.59";"https://www.trendir.com/corru/";"0.00";"0.00";"0.24";"10800000";"0.25,1.00,0.75,0.50,1.00,1.00,0.25,0.50,0.50,0.50,0.25,0.50";"1509405754"
"contemporary interior designer";"62";"0";"10";"71.74";"2.62";"https://www.trendir.com/classic-contemporary-interior-design-inspirations-by-pietro-carlo-pellegrini/";"0.00";"0.00";"0.31";"4000000";"0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50,1.00,0.50";"1509566891"
"interior modern doors";"46";"55";"110";"59.75";"1.85";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"80400000";"0.82,0.65,0.24,0.53,0.53,0.65,0.65,0.53,0.82,0.53,1.00,0.65";"1510775048"
"modern italian interior doors";"98";"0";"50";"38.91";"1.66";"https://www.trendir.com/italian-maze-house-with-geometric-exterior-sliding-interior-walls/";"0.00";"0.00";"1.00";"6470000";"0.44,0.11,0.56,0.22,0.56,0.22,1.00,1.00,0.33,0.56,0.56,0.56";"1510330404"
"half window shutters interior";"27";"22";"50";"84.24";"3.74";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"346000";"0.78,0.78,0.56,0.22,0.56,0.22,1.00,1.00,0.33,0.56,0.56,0.33";"1510328672"
"custom jet interiors";"45";"0";"20";"40.57";"1.69";"https://www.trendir.com/best-private-jet-interior-designs/";"0.00";"0.00";"0.34";"26800000";"0.33,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.33,1.00,0.67";"1509427310"
"simple interior design ideas for kitchen";"44";"53";"10";"87.25";"2.97";"https://www.trendir.com/interiors/";"0.00";"0.00";"1.00";"0";"1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00";"1510660137"
"interior waterfalls fountains";"72";"0";"10";"79.50";"1.97";"https://www.trendir.com/yosemite-falls/";"0.00";"0.00";"1.00";"953000";"1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00";"1509575313"
"mirrors in interior design";"89";"0";"10";"73.71";"8.49";"https://www.trendir.com/bedroom-mirror-designs/";"0.00";"0.00";"0.32";"27200000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1510459504"
"bar interior design ideas";"55";"0";"30";"79.01";"3.11";"https://www.trendir.com/outdoor-wet-bar-design-ideas/";"0.00";"0.00";"0.43";"37200000";"0.20,0.60,0.80,0.60,0.60,0.40,0.80,0.60,0.80,0.40,1.00,0.40";"1509401490"
"architectural interior designs";"81";"0";"10";"67.51";"2.38";"https://www.trendir.com/natural-home-architectural-interior-design/";"0.00";"0.00";"0.47";"3750000";"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50";"1509568991"
"luxury home interiors pictures";"56";"0";"10";"76.68";"1.07";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.36";"9180000";"0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00";"1509316361"
"interior design contemporary style";"74";"47";"10";"57.08";"3.02";"https://www.trendir.com/classic-and-contemporary-interior-design/";"0.00";"0.00";"0.50";"53700000";"0.50,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50";"1510570878"
"how to design a house interior";"90";"0";"20";"79.89";"1.46";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.54";"480000000";"0.25,0.25,0.25,1.00,1.00,0.75,0.50,1.00,0.25,0.25,0.50,0.25";"1508986079"
"moroccan interior design";"51";"0";"320";"72.93";"1.71";"https://www.trendir.com/moroccan-style-interior-design-ideas/";"0.00";"0.00";"0.45";"18600000";"0.67,0.82,0.67,0.67,0.82,0.67,0.44,0.67,0.82,0.82,1.00,0.82";"1509161236"
"interior house designs photos";"22";"0";"10";"83.69";"1.25";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.48";"9790000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1509366400"
"modern interior design apartment";"13";"0";"70";"82.51";"2.53";"https://www.trendir.com/interiors/apartment-interiors/";"0.00";"0.00";"0.50";"56400000";"0.56,0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33";"1509953981"
"old farmhouse interior design";"59";"0";"20";"83.66";"1.07";"https://www.trendir.com/contemporary-farmhouse-interior-design-splashed-up-with-color/";"0.00";"0.00";"0.15";"449000000";"0.67,1.00,0.67,1.00,0.67,0.67,1.00,0.33,1.00,0.67,1.00,0.67";"1509150956"
"interior stone veneer";"38";"0";"590";"68.92";"1.65";"https://www.trendir.com/interior-stone-veneers-by-eldo-1/";"0.00";"0.00";"1.00";"9400000";"0.82,0.67,0.55,0.55,0.36,0.82,0.67,0.82,0.82,0.67,1.00,0.82";"1509569574"
"interior window shutter ideas";"64";"0";"20";"78.07";"5.32";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"15700000";"0.67,0.33,0.67,0.67,0.33,0.67,0.33,0.67,0.67,0.67,1.00,0.67";"1509479062"
"futuristic home interior";"13";"0";"20";"70.60";"3.99";"https://www.trendir.com/house-design/futuristic-homes/";"0.00";"0.00";"0.56";"64200000";"0.67,0.33,0.67,1.00,0.67,0.33,0.67,1.00,1.00,0.67,1.00,1.00";"1509421308"
"townhouse interior design ideas";"64";"0";"30";"83.74";"1.33";"https://www.trendir.com/";"0.00";"0.00";"0.17";"48300000";"0.40,0.20,0.20,1.00,1.00,1.00,0.60,0.60,0.20,0.20,0.40,0.60";"1508719289"
"glass wall interior design";"49";"58";"40";"76.78";"1.79";"https://www.trendir.com/house-with-floating-facade-glass-walls-and-interior-courtyard/";"0.00";"0.00";"1.00";"103000000";"0.56,0.78,0.11,1.00,0.11,0.33,0.11,0.56,0.11,0.78,0.78,0.78";"1510369509"
"modern interior sliding doors";"64";"0";"40";"78.65";"1.75";"https://www.trendir.com/sliding-barn-doors-for-the-home/";"0.00";"0.00";"1.00";"14200000";"0.44,0.56,0.44,1.00,0.44,0.56,0.56,0.56,0.33,0.33,0.22,0.56";"1508620379"
"scandinavian interior design bedroom";"17";"0";"90";"70.41";"1.63";"https://www.trendir.com/scandinavian-interior-designs/";"0.00";"0.00";"0.29";"21500000";"0.44,1.00,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,1.00";"1509722123"
"interior design color";"31";"0";"90";"77.45";"16.82";"https://www.trendir.com/green-color-interior-design/";"0.00";"0.00";"0.26";"93600000";"1.00,0.64,0.82,0.64,0.82,0.45,0.82,0.82,0.82,0.64,0.82,0.64";"1508352379"
"interior house design ideas";"34";"0";"50";"85.09";"1.68";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.37";"90900000";"0.33,0.22,0.56,0.56,0.44,0.78,1.00,0.78,0.33,0.22,0.44,0.78";"1508550635"
"interior contemporary design";"15";"0";"90";"65.25";"1.04";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.39";"24500000";"0.44,0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22";"1509686651"
"sliding bathroom doors interior";"85";"0";"30";"76.51";"1.18";"https://www.trendir.com/barn-doors/";"0.00";"0.00";"0.98";"23700000";"0.60,0.20,0.40,0.40,0.60,0.80,1.00,0.40,0.40,0.60,0.80,0.80";"1508961534"
"bathroom shutters interior";"34";"35";"70";"75.90";"2.26";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"26100000";"0.33,0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33";"1510310731"
"interior design houses pictures";"24";"33";"10";"78.65";"2.70";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.20";"36900000";"0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50";"1510504558"
"small townhouse interior design";"71";"0";"20";"86.44";"4.31";"https://www.trendir.com/small-wooden-homes-and-cottages/";"0.00";"0.00";"0.20";"2470000";"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.40,0.40,1.00,1.00";"1509421863"
"shutter doors interior";"17";"0";"30";"74.41";"2.83";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"17000000";"0.27,0.27,0.18,1.00,0.36,0.45,0.18,0.18,0.09,0.09,0.27,0.09";"1509335176"
"modern rustic home interior design";"46";"80";"40";"82.53";"4.01";"https://www.trendir.com/rustic-modern-decor/";"0.00";"0.00";"0.61";"29200000";"0.56,0.11,0.78,0.22,0.78,0.22,0.11,1.00,0.44,0.78,0.78,0.56";"1510399439"
"wooden shutters for interior windows";"43";"0";"30";"81.81";"5.31";"https://www.trendir.com/modern-interior-shutters/";"0.00";"0.00";"1.00";"14600000";"0.09,0.09,0.09,0.09,0.09,0.09,0.27,0.27,0.18,0.82,1.00,0.18";"1508961827"
"interiors for modern living";"47";"0";"20";"72.09";"14.97";"https://www.trendir.com/interiors/";"0.00";"0.00";"0.34";"6070000";"0.50,0.50,1.00,1.00,0.50,1.00,1.00,1.00,0.50,0.50,0.50,1.00";"1509405784"
"ikea interiors";"21";"0";"20";"83.05";"1.34";"https://www.trendir.com/asian-inspired-interiors-by-ikea/";"0.00";"0.00";"0.11";"34100000";"1.00,1.00,0.50,1.00,0.50,0.50,1.00,1.00,1.00,0.50,1.00,1.00";"1509494075"
"glass sliding interior doors";"78";"0";"20";"75.61";"1.25";"https://www.trendir.com/glass-sliding-door-from-albed/";"0.00";"0.00";"1.00";"3020000";"0.75,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.75,0.25,0.50,0.75";"1509096987"
"luxury interior design ideas";"25";"0";"20";"80.67";"3.04";"https://www.trendir.com/luxury-interior-design-ideas-by-marcel-wanders/";"0.00";"0.00";"0.40";"30100000";"0.50,0.50,0.50,0.25,0.75,0.25,0.75,0.50,0.50,0.50,0.75,1.00";"1508959024"
"interior design curtains";"98";"0";"50";"72.72";"3.91";"https://www.trendir.com/interior-curtains-design-for-glass-house-privacy-and-energy-saving/";"0.00";"0.00";"0.98";"32200000";"0.56,0.56,0.56,0.44,0.44,0.56,0.56,0.78,0.78,0.78,0.56,1.00";"1508461963"
"interior brick wall design";"97";"0";"20";"70.90";"1.16";"https://www.trendir.com/interior-brick-feature-wall/";"0.00";"0.00";"0.91";"79700000";"0.50,0.25,0.50,0.75,1.00,1.00,0.25,0.50,0.75,0.25,0.25,0.50";"1508958239"
"interior designer doors";"84";"0";"20";"77.35";"1.28";"https://www.trendir.com/modern-interior-doors/";"0.00";"0.00";"1.00";"3370000";"1.00,0.50,1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50,1.00,1.00";"1509407243"
